2021-09-10
Part Number,On Hand,Backlog,Released,HFR,On Order,T-Avail,R-Avail,Reorder,2021/9/17,2021/9/24,2021/10/8,2021/10/22,2021/11/12
1234N1203,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,
AV-201,8612.070000,0.000000,0.000000,0.000000,0.000000,8612.070000,8612.070000,1000.000000,,,,,
AV-BASE-BK,17811.190000,0.000000,0.000000,0.000000,0.000000,17811.190000,17811.190000,5000.000000,,,,,
AV-BASE-SNAP,17258.415000,0.000000,0.000000,0.000000,0.000000,17258.415000,17258.415000,10000.000000,,,,,
AV-BASE-WH,49000.461000,8.000000,8.000000,0.000000,0.000000,48992.461000,48992.461000,25000.000000,,,,,
AV-BOX,161.000000,0.000000,0.000000,0.000000,0.000000,161.000000,161.000000,100.000000,,,,,
AV-CH,5108.000000,145.000000,145.000000,0.000000,0.000000,4963.000000,4963.000000,1500.000000,,,,,
AV-CH-BK,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,
AV-CH-PA,667.000000,0.000000,0.000000,0.000000,0.000000,667.000000,667.000000,0.000000,,,,,
AV-CH-PG,1575.000000,0.000000,0.000000,0.000000,0.000000,1575.000000,1575.000000,0.000000,,,,,
AV-CH-SA,51.660000,0.000000,0.000000,0.000000,0.000000,51.660000,51.660000,500.000000,,,,,
AV-CH-WH,1159.501000,0.000000,0.000000,0.000000,0.000000,1159.501000,1159.501000,500.000000,,,,,
AV-CL,257.000000,0.000000,0.000000,0.000000,1000.000000,1257.000000,1257.000000,1000.000000,,1000.000000,,,
AV-CONN,13092.000000,0.000000,0.000000,0.000000,0.000000,13092.000000,13092.000000,5000.000000,,,,,
AV-CONTACT,96786.664000,16.000000,16.000000,0.000000,0.000000,96770.664000,96770.664000,50000.000000,,,,,
AV-CV-CL,3359.999000,0.000000,0.000000,0.000000,0.000000,3359.999000,3359.999000,1500.000000,,,,,
AV-CV-WH,2041.495000,0.000000,0.000000,0.000000,0.000000,2041.495000,2041.495000,1500.000000,,,,,
AV-EC-BK,725.000000,0.000000,0.000000,0.000000,0.000000,725.000000,725.000000,125.000000,,,,,
AV-EC-SV,451.000000,0.000000,0.000000,0.000000,0.000000,451.000000,451.000000,125.000000,,,,,
AV-EC-WH,202.000000,0.000000,0.000000,0.000000,0.000000,202.000000,202.000000,125.000000,,,,,
AV-LCH,10834.000000,0.000000,0.000000,0.000000,0.000000,10834.000000,10834.000000,1500.000000,,,,,
AV-LCH-BK,1049.700000,0.000000,0.000000,0.000000,0.000000,1049.700000,1049.700000,0.000000,,,,,
AV-LCH-PA,199.995000,0.000000,0.000000,0.000000,0.000000,199.995000,199.995000,0.000000,,,,,
